name,comment
 【当当自营】华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹全网通版双4G手机,4291
 【当当自营】华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机 全网通双4G手机,2577
 【当当自营】华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄 全网通版双4G,1582
 【当当自营】Huawei/华为nova 5超级夜景4800万AI四摄超级快充屏内指纹NFC超广角景深手机,966
 Apple iPhone X 256GB 深空灰 移动联通电信4G手机,905
 【当当自营】华为 HUAWEI Mate 20 Pro 麒麟980芯片全面屏超微距影像超大广角徕卡三摄 全网通版双4G,866
 【当当自营】Apple 苹果 iPhone Xs Max 256GB 金色 全网通 手机,749
 【当当自营】Apple 苹果 iPhone Xs Max 256GB 深空灰色 全网通 手机,618
 【当当自营】Apple 苹果 iPhone Xs Max 256GB 银色 全网通 手机,614
 【当当自营】Apple 苹果 iPhone XR 128GB 黑色 全网通 手机,536
 【当当自营】Apple 苹果 iPhone XR 64GB 黑色 全网通 手机,526
 【当当自营】Apple 苹果 iPhone Xs 64GB 金色 全网通 手机,523
 【当当自营】Apple 苹果 iPhone Xs Max 64GB 金色 全网通 手机,497
 【当当自营】OPPO R17 霓光紫 全网通8GB+128GB 移动联通电信4G手机 双卡双待,494
 【当当自营】Apple 苹果 iPhone XR 128GB 白色 全网通 手机,486
 荣耀20 4800万超广角AI四摄 3200W美颜自拍 麒麟980全网通版,484
 【当当自营】Apple 苹果 iPhone XR 64GB 白色 全网通 手机,462
 【当当自营】OPPO A5 全网通3GB+64GB 幻镜粉 超视野全面屏拍照4G手机,447
 【当当自营】OPPO A5 全网通3GB+64GB 幻镜蓝 超视野全面屏拍照4G手机,428
 【当当自营】Apple 苹果 iPhone Xs Max 64GB 银色 全网通 手机,410
 【当当自营】Apple 苹果 iPhone Xs Max 64GB 深空灰色 全网通 手机,402
 【当当自营】Apple 苹果 iPhone Xs 64GB 深空灰色 全网通 手机,366
 【当当自营】Apple 苹果 iPhone Xs 256GB 金色 全网通 手机,363
 【当当自营】Apple 苹果 iPhone Xs 256GB 深空灰色 全网通 手机,345
 【当当自营】华为 荣耀8X 全网通4GB+64GB 魅海蓝 移动联通电信4G手机 双卡双待,341
 【当当自营】华为 荣耀8X 全网通6GB+128GB 魅海蓝 移动联通电信4G手机 双卡双待,332
 【当当自营】华为 荣耀8X 全网通4GB+64GB 幻夜黑 移动联通电信4G手机 双卡双待,326
 【当当自营】Apple 苹果 iPhone XR 128GB 红色 全网通 手机,323
 【当当自营】华为 荣耀8X 全网通6GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,322
 【当当自营】华为 荣耀8X 全网通6GB+64GB 幻夜黑 移动联通电信4G手机 双卡双待,304
 【当当自营】Apple 苹果 iPhone Xs 64GB 银色 全网通 手机,304
 【当当自营】华为 荣耀8X 全网通6GB+64GB 魅海蓝 移动联通电信4G手机 双卡双待,300
 【当当自营】华为 荣耀8X 全网通6GB+128GB 魅焰红 移动联通电信4G手机 双卡双待,298
 【当当自营】Apple 苹果 iPhone XR 64GB 红色 全网通 手机,288
 【当当自营】华为 HUAWEI Mate 20 Pro (UD)屏内指纹版麒麟980芯片全面屏超大广角徕卡三摄 全网通,283
 【当当自营】Apple 苹果 iPhone Xs 256GB 银色 全网通 手机,267
 【当当自营】小米9 8GB+128GB 全息幻彩紫 移动联通电信4G全网通手机,254
